stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1,1002500,"WISCONSIN AVE NW & RIVER RD NW",,38.949019,-77.080369,8
3,3002395,"9TH STREET AT RAILROAD AVE",,39.008222,-76.780363,8
9,3002207,"14TH AV & LANGLEY WY",,38.990257,-76.984353,5
10,3002213,"14TH AV & LANGLEY WY",,38.990479,-76.984519,5
11,3002191,"14TH AV & KANAWHA ST",,38.988320,-76.983581,5
12,3002149,"UNIVERSITY BV & 15TH AV ",,38.984705,-76.981048,5
13,3002159,"15TH AV & UNIVERSITY BV",,38.985571,-76.981371,5
17,3001942,"23RD AV & SHERIDAN ST",,38.969746,-76.972667,5
18,3001945,"23RD AV & SHERIDAN ST",,38.969760,-76.972819,5
19,3002005,"23RD AV & WOODBERRY ST",,38.972245,-76.971757,5
21,3002048,"23RD AV & BANNING PL",,38.975295,-76.971625,5
22,3002052,"23RD AV & BANNING PL",,38.975501,-76.971787,5
23,3002061,"23RD AV & DREXEL ST",,38.977192,-76.971833,5
24,3002686,"23RD AV & DREXEL ST",,38.976805,-76.971680,5
26,3002081,"23RD AV & FORDHAM ST",,38.979556,-76.970777,5
28,3003226,"23RD PW & KENTON PL",,38.831100,-76.957628,6
29,3000572,"23RD PW & JAMESON ST",,38.832229,-76.959156,6
30,3000574,"23RD PW & JAMESON ST",,38.832404,-76.958872,6
31,3000579,"23RD PW & IVERSON ST",,38.833155,-76.959417,6
32,3000586,"23RD PKWY AT COLEBROOKE DRIVE",,38.833593,-76.960782,6
33,3000604,"23RD PW & CALLAWAY ST",,38.835931,-76.961037,6
35,3000616,"23RD PW & FOSTER PL",,38.837673,-76.960301,6
37,3000640,"23RD PW & CATSKILL ST",,38.840370,-76.961978,6
39,3000650,"23RD PW & BERKLEY ST",,38.842400,-76.964629,6
40,3001530,"25TH AV & ARUNDEL RD",,38.945722,-76.970236,5
42,1000647,"51ST ST SE & D ST SE",,38.883825,-76.928735,7
46,1003307,"51ST ST NE & CLOUD PL NE",,38.893961,-76.928381,7
66,1003654,"NW R ST & NW 7TH ST",,38.912609,-77.021936,7
72,3000619,"26TH AV & COLEBROOKE DR",,38.837961,-76.954115,6
73,3002726,"OLD BRANCH AV & OURISMAN DR",,38.830598,-76.932284,6
79,3000133,"W OLD FORT RD & GRIFF DR",,38.749261,-76.976227,9
80,3000551,"28TH AV & RIVIERA ST",,38.831269,-76.943358,6
81,3000556,"28TH AV & RIVIERA ST",,38.831497,-76.943580,6
82,3000134,"W OLD FORT RD & THORNE DR",,38.749228,-76.976333,9
83,3000131,"W OLD FORT RD & OLD FORT PL",,38.746776,-76.972925,9
84,3000132,"W OLD FORT RD & OLD FORT PL",,38.747014,-76.973066,9
86,3000543,"ST BARNABAS RD & 28TH AVE",,38.830390,-76.941682,6
87,3000549,"28TH AV & ST BARNABAS RD",,38.831187,-76.941790,6
89,3000129,"S OLD FORT RD & FRONTIER CT",,38.744151,-76.972840,9
90,3000682,"28TH PW & 27TH AV",,38.845650,-76.960427,6
91,3001499,"28TH PL & UPSHUR ST",,38.943100,-76.968635,5
92,3001501,"28TH PL & UPSHUR ST",,38.943223,-76.968584,5
93,3000125,"S OLD FORT RD & POWDER HORN DR",,38.740166,-76.973596,9
94,3001520,"28TH PL & RUSSELL AV",,38.944484,-76.971110,5
95,3000124,"S OLD FORT RD & THORNTON DR",,38.739996,-76.973827,9
96,1002478,"WISCONSIN AVE & ALBEMARLE ST NW",,38.947750,-77.079402,9
97,3001406,"38TH AV & PARKWOOD ST",,38.936655,-76.952041,5
98,3002879,"38TH AV & PARKWOOD ST",,38.936425,-76.952059,5
99,3000121,"S OLD FORT RD & THOMAS RD",,38.736859,-76.975435,9
100,3000118,"S OLD FORT RD & VALLEY VIEW DR",,38.735544,-76.975679,9
101,3001416,"38TH ST & PERRY ST",,38.937740,-76.954178,5
102,3002878,"38TH ST & PERRY ST",,38.937696,-76.954474,5
103,3000117,"S OLD FORT RD & FOLK DR",,38.734872,-76.975931,9
104,3002784,"S OLD FORT RD & TRAFALGAR DR",,38.733634,-76.975854,9
105,3001443,"38TH ST & RHODE ISLAND AV",,38.939414,-76.955301,5
106,3001445,"38TH ST & BUNKER HILL RD",,38.939406,-76.956066,5
107,3001462,"38TH ST & SHEPHERD ST",,38.940346,-76.956323,5
108,3001463,"38TH ST & SHEPHERD ST",,38.940362,-76.956168,5
109,3001493,"38TH ST & UTAH ST",,38.942820,-76.956548,5
111,3001519,"38TH AV & VOLTA ST",,38.944497,-76.956534,5
113,3001540,"38TH ST & WINDOM RD",,38.946912,-76.956734,5
114,3001547,"38TH ST & WINDOM RD",,38.947271,-76.956778,5
115,3001557,"38TH ST & ALLISON ST",,38.948038,-76.956640,5
116,3001563,"38TH ST & ALLISON ST",,38.948487,-76.956411,5
121,3001616,"38TH AV & HAMILTON ST",,38.952918,-76.954835,5
122,3001619,"38TH AV & HAMILTON ST",,38.952855,-76.954998,5
123,3000113,"S OLD FORT RD & GALLAHAN RD",,38.731247,-76.976011,9
124,3001647,"JEFFERSON STREET;38TH AV & KENNEDY",,38.954510,-76.953123,5
125,3001622,"40TH AV & HAMILTON ST",,38.953080,-76.950688,5
126,3001624,"40TH AV & 39TH AV",,38.953392,-76.950532,5
127,3001649,"40TH AV & JEFFERSON ST",,38.954645,-76.949844,5
128,3001654,"40TH AV & JEFFERSON ST",,38.954675,-76.950052,5
129,3001683,"40TH AV & LONGFELLOW ST",,38.956579,-76.949995,5
130,3001688,"40TH AV & LONGFELLOW ST",,38.956755,-76.950116,5
131,3001712,"40TH AV & MADISON ST",,38.958144,-76.950109,5
132,3001718,"40TH AV & MADISON ST",,38.958396,-76.950225,5
133,3001744,"40TH AV & OGLETHORPE ST",,38.960024,-76.949563,5
134,1003107,"SE ALABAMA AVE & SE 12TH ST",,38.844214,-76.990800,5
135,3001737,"42ND AV & OGLETHORPE ST",,38.959621,-76.946444,5
136,3001765,"42ND AV & OLIVER ST",,38.961114,-76.946326,5
137,3001782,"42ND AV & OLIVER ST",,38.961610,-76.946442,5
138,3001818,"42ND AV & QUEENSBURY RD",,38.963455,-76.946161,5
140,3001449,"57TH AV & ANNAPOLIS RD",,38.939598,-76.917729,5
141,3001460,"57TH AV & ANNAPOLIS RD",,38.940266,-76.917652,5
142,3002877,"57TH AVE & 58TH AVE",,38.942549,-76.917261,5
144,3002874,"57TH AV & EMERSON ST",,38.947451,-76.915181,5
145,3002781,"S OLD FORT RD & FLAGSHIP AV",,38.728750,-76.978478,9
150,3000103,"S OLD FORT RD & JOMAR DR",,38.723618,-76.982204,9
154,3000099,"S OLD FORT RD (@ PREM # 12309)",,38.720743,-76.983337,9
156,3000097,"S OLD FORT RD & OLD PISCATAWAY RD",,38.719806,-76.983642,9
157,3001734,"85TH AV & LONGFELLOW ST",,38.959613,-76.869760,8
158,3001775,"85TH AV & WESTBROOK DR",,38.961397,-76.869911,8
159,3001897,"85TH PL & POWHATAN ST",,38.966743,-76.872117,8
160,3001900,"85TH PL & POWHATAN ST",,38.966979,-76.872110,8
161,3001940,"85TH PL & FREMONT ST",,38.969623,-76.872061,8
162,3001955,"85TH PL & FREMONT ST",,38.970018,-76.872121,8
164,3002014,"85TH PL & RAVENSWOOD RD",,38.972558,-76.872507,8
170,1003098,"SE BARNABY ST & SE WHEELER RD",,38.833218,-76.989905,5
171,3002386,"CHERRYWOOD LA & SPRINGHILL DR",,39.007011,-76.906041,8
172,2001070,"OLNEY SANDY SPRING RD & PRINCE PHILIP",,39.150648,-77.057336,7
173,2001072,"OLNEY SANDY SPRING RD & PRINCE PHILIP DR",,39.150758,-77.057466,7
193,3000093,"S OLD FORT RD & LIVINGSTON RD",,38.718447,-76.984114,9
195,3001173,"ADDISON RD & ANTELOPE LA",,38.911094,-76.929285,5
196,3003380,"ADDISON RD & ANTELOPE LA",,38.911233,-76.929406,5
197,3001172,"ADDISON RD & DOEWOOD LA",,38.911006,-76.926310,5
198,3003379,"ADDISON RD & DOEWOOD LA",,38.911211,-76.926431,5
199,3001168,"ADDISON RD & ELKWOOD LA",,38.910477,-76.924015,5
200,3001170,"ADDISON RD & ELKWOOD LA",,38.910650,-76.924122,5
201,3001163,"ADDISON RD & N ENGLEWOOD DR",,38.909554,-76.921289,5
202,3003381,"ADDISON RD & N ENGLEWOOD DR",,38.910055,-76.922458,5
